epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,4492.05,1.35407,0.75676,1.24627,0.88508,0.91542,0.95535,0.61305,1.26661,0.64118,1.25128,0.0074854,0.0074854,0.0074854
129,4525.95,1.3775,0.7774,1.25823,0.86527,0.94129,0.95719,0.61176,1.27346,0.6403,1.25617,0.0074656,0.0074656,0.0074656
130,4561.47,1.36555,0.76792,1.23963,0.88478,0.92537,0.96043,0.61809,1.27471,0.62914,1.25452,0.0074458,0.0074458,0.0074458
131,4596.42,1.36594,0.76855,1.24671,0.86339,0.93134,0.95907,0.61756,1.25685,0.63035,1.246,0.007426,0.007426,0.007426
132,4630.65,1.36193,0.76764,1.25843,0.87972,0.917,0.9538,0.60744,1.27213,0.65463,1.25795,0.0074062,0.0074062,0.0074062
133,4665.57,1.36382,0.76875,1.24,0.88938,0.91996,0.958,0.6107,1.2734,0.63447,1.25225,0.0073864,0.0073864,0.0073864
134,4698.51,1.37445,0.76596,1.25239,0.88919,0.92139,0.9591,0.61219,1.25692,0.62957,1.25083,0.0073666,0.0073666,0.0073666
135,4733.92,1.37757,0.77273,1.26036,0.88708,0.91841,0.95166,0.6001,1.28328,0.64234,1.25944,0.0073468,0.0073468,0.0073468
136,4768.54,1.36347,0.77962,1.25318,0.89245,0.92139,0.95863,0.62412,1.26151,0.62784,1.24538,0.007327,0.007327,0.007327
137,4805.2,1.36575,0.77518,1.24424,0.86716,0.93035,0.95768,0.61544,1.27137,0.63914,1.25457,0.0073072,0.0073072,0.0073072
138,4837.77,1.36575,0.77417,1.26025,0.86722,0.93234,0.95838,0.62839,1.23774,0.62017,1.23974,0.0072874,0.0072874,0.0072874
139,4864.57,1.3543,0.75876,1.23034,0.88617,0.92955,0.95958,0.62239,1.26245,0.6348,1.2468,0.0072676,0.0072676,0.0072676
140,4899.57,1.36533,0.76454,1.24309,0.88817,0.9204,0.95813,0.61967,1.25258,0.63076,1.24085,0.0072478,0.0072478,0.0072478
141,4933.11,1.34427,0.75373,1.23334,0.89302,0.92438,0.96351,0.62773,1.24936,0.61732,1.24004,0.007228,0.007228,0.007228
142,4968.89,1.35155,0.76202,1.24124,0.89187,0.91542,0.96291,0.62441,1.24975,0.64234,1.24365,0.0072082,0.0072082,0.0072082
143,5003.96,1.35375,0.75431,1.24121,0.89936,0.91741,0.96524,0.631,1.25557,0.61365,1.23875,0.0071884,0.0071884,0.0071884
144,5039.86,1.34762,0.7452,1.24129,0.89268,0.91868,0.96146,0.62129,1.2594,0.6274,1.24497,0.0071686,0.0071686,0.0071686
145,5074.57,1.33631,0.7495,1.22813,0.87868,0.91244,0.95938,0.61773,1.26686,0.65236,1.24786,0.0071488,0.0071488,0.0071488
146,5109.66,1.35865,0.75789,1.23862,0.8844,0.92874,0.96254,0.61656,1.26856,0.63173,1.24835,0.007129,0.007129,0.007129
147,5145.16,1.35001,0.761,1.24584,0.88176,0.93433,0.96095,0.61927,1.24514,0.62439,1.23603,0.0071092,0.0071092,0.0071092
148,5181.79,1.34946,0.75518,1.24521,0.87999,0.93632,0.96084,0.62265,1.25745,0.62055,1.24197,0.0070894,0.0070894,0.0070894
149,5217.8,1.35289,0.76,1.25316,0.89639,0.92115,0.95963,0.61683,1.26234,0.60834,1.24456,0.0070696,0.0070696,0.0070696
150,5252.47,1.36542,0.76437,1.24651,0.88416,0.93035,0.95938,0.62047,1.2538,0.61773,1.24182,0.0070498,0.0070498,0.0070498
151,5288.07,1.34371,0.74958,1.22665,0.89728,0.92129,0.96186,0.62319,1.24533,0.62397,1.24069,0.00703,0.00703,0.00703
152,5324.28,1.36918,0.7546,1.25277,0.88998,0.93368,0.96175,0.62824,1.25482,0.61011,1.24145,0.0070102,0.0070102,0.0070102
153,5360.03,1.34109,0.75005,1.23376,0.88686,0.94374,0.96278,0.62002,1.26304,0.61033,1.24302,0.0069904,0.0069904,0.0069904
154,5396.52,1.34794,0.74789,1.23145,0.89186,0.93035,0.96297,0.61343,1.27064,0.6112,1.24982,0.0069706,0.0069706,0.0069706
155,5429.49,1.33259,0.74979,1.23725,0.89397,0.89765,0.95811,0.6153,1.27051,0.63356,1.2492,0.0069508,0.0069508,0.0069508
156,5464.35,1.34521,0.75182,1.22461,0.87997,0.91841,0.9574,0.61776,1.25161,0.62213,1.24141,0.006931,0.006931,0.006931
157,5498.97,1.33106,0.74632,1.23409,0.89409,0.9156,0.96008,0.62509,1.24973,0.61607,1.23864,0.0069112,0.0069112,0.0069112
158,5534.65,1.33509,0.73937,1.23547,0.87363,0.93556,0.96401,0.63647,1.23971,0.60969,1.23081,0.0068914,0.0068914,0.0068914
