epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,5582.14,1.21848,0.63019,1.11315,0.90877,0.92338,0.96369,0.65332,1.18562,0.55542,1.14496,0.0084556,0.0084556,0.0084556
80,5638.46,1.22605,0.6243,1.11406,0.88394,0.94733,0.96854,0.64112,1.1945,0.5497,1.15404,0.0084358,0.0084358,0.0084358
81,5693.96,1.21496,0.63497,1.10661,0.90706,0.93134,0.97033,0.65569,1.1936,0.5478,1.14297,0.008416,0.008416,0.008416
82,5749.9,1.20119,0.63624,1.10138,0.88497,0.94627,0.9683,0.65239,1.20239,0.54462,1.16237,0.0083962,0.0083962,0.0083962
83,5805.36,1.21067,0.62639,1.1192,0.89506,0.93134,0.965,0.64343,1.20401,0.57026,1.16753,0.0083764,0.0083764,0.0083764
84,5860.6,1.19856,0.6305,1.11264,0.898,0.94614,0.9672,0.64787,1.1992,0.56215,1.14406,0.0083566,0.0083566,0.0083566
85,5916.48,1.22034,0.6339,1.11676,0.90453,0.93331,0.96941,0.64027,1.23067,0.56295,1.17583,0.0083368,0.0083368,0.0083368
86,5972.45,1.18893,0.62782,1.10381,0.89138,0.9393,0.96487,0.64358,1.20094,0.58258,1.16049,0.008317,0.008317,0.008317
87,6027.9,1.21553,0.64946,1.11088,0.9111,0.95025,0.96801,0.65161,1.19657,0.53793,1.14858,0.0082972,0.0082972,0.0082972
88,6083.63,1.21857,0.62336,1.11737,0.90235,0.93234,0.96408,0.66094,1.18817,0.56036,1.1455,0.0082774,0.0082774,0.0082774
89,6139.33,1.20451,0.63442,1.10914,0.90433,0.94328,0.96915,0.66047,1.17272,0.55779,1.13854,0.0082576,0.0082576,0.0082576
90,6195.13,1.18178,0.61548,1.09945,0.90522,0.94077,0.96813,0.65333,1.18255,0.56504,1.15226,0.0082378,0.0082378,0.0082378
91,6250.86,1.19018,0.61189,1.1081,0.90953,0.93037,0.9673,0.66156,1.17059,0.53446,1.14156,0.008218,0.008218,0.008218
92,6306.82,1.20723,0.6225,1.12082,0.89249,0.94164,0.96363,0.64929,1.20157,0.56013,1.15435,0.0081982,0.0081982,0.0081982
93,6362.5,1.18826,0.61285,1.10849,0.92831,0.92763,0.97157,0.67098,1.15895,0.52393,1.13315,0.0081784,0.0081784,0.0081784
94,6418.18,1.18845,0.60618,1.1223,0.89894,0.94527,0.96521,0.64432,1.22099,0.54938,1.18618,0.0081586,0.0081586,0.0081586
95,6473.71,1.17515,0.60083,1.10204,0.90712,0.92326,0.9689,0.6573,1.1821,0.5389,1.15466,0.0081388,0.0081388,0.0081388
96,6529.05,1.18492,0.61364,1.10535,0.90522,0.95033,0.96971,0.66962,1.17702,0.54976,1.13491,0.008119,0.008119,0.008119
97,6584.94,1.1757,0.60202,1.10582,0.88142,0.94675,0.96486,0.64816,1.20913,0.56849,1.17581,0.0080992,0.0080992,0.0080992
98,6641.01,1.17906,0.60383,1.09713,0.90179,0.94527,0.97218,0.66757,1.18177,0.54443,1.14508,0.0080794,0.0080794,0.0080794
99,6697.74,1.16492,0.59797,1.09538,0.89975,0.92836,0.9661,0.65565,1.18514,0.54914,1.15449,0.0080596,0.0080596,0.0080596
100,6753.32,1.16973,0.60804,1.09694,0.90899,0.95124,0.97076,0.66289,1.18006,0.53795,1.14884,0.0080398,0.0080398,0.0080398
101,6808.9,1.16705,0.59972,1.10263,0.91318,0.94189,0.97411,0.6645,1.18451,0.54299,1.14717,0.00802,0.00802,0.00802
102,6864.68,1.16324,0.61241,1.09587,0.91462,0.93802,0.97164,0.65555,1.1999,0.54049,1.15871,0.0080002,0.0080002,0.0080002
103,6920.43,1.17062,0.59953,1.09673,0.90905,0.93481,0.97062,0.66083,1.1757,0.53698,1.13951,0.0079804,0.0079804,0.0079804
104,6976.42,1.17678,0.5999,1.09398,0.90864,0.94017,0.96818,0.66067,1.17786,0.53053,1.14098,0.0079606,0.0079606,0.0079606
105,7032.26,1.15051,0.58516,1.08488,0.88144,0.96617,0.96812,0.65855,1.17922,0.55407,1.14661,0.0079408,0.0079408,0.0079408
106,7088.2,1.1645,0.60433,1.09921,0.88101,0.9602,0.96995,0.67228,1.17212,0.52678,1.14249,0.007921,0.007921,0.007921
107,7144.5,1.16154,0.6003,1.08419,0.90371,0.9339,0.96153,0.64916,1.21331,0.54586,1.16588,0.0079012,0.0079012,0.0079012
108,7216.36,1.1602,0.59963,1.08647,0.89672,0.9417,0.9695,0.66131,1.17825,0.53454,1.15159,0.0078814,0.0078814,0.0078814
109,7286.46,1.16642,0.61034,1.10186,0.91172,0.93514,0.96696,0.66383,1.16441,0.53561,1.13483,0.0078616,0.0078616,0.0078616
110,7356.91,1.155,0.59133,1.09632,0.89993,0.94848,0.96923,0.66073,1.18035,0.52928,1.14599,0.0078418,0.0078418,0.0078418
111,7428.31,1.15669,0.59397,1.08635,0.90468,0.94328,0.96777,0.6652,1.16601,0.5271,1.13896,0.007822,0.007822,0.007822
112,7505.78,1.15806,0.59324,1.09708,0.90087,0.9404,0.96881,0.65515,1.19571,0.5386,1.1613,0.0078022,0.0078022,0.0078022
113,7584.63,1.15948,0.58906,1.09775,0.91341,0.93414,0.96277,0.6617,1.1703,0.5316,1.13537,0.0077824,0.0077824,0.0077824
114,7662.15,1.14055,0.57968,1.07858,0.90128,0.95025,0.96852,0.66253,1.17085,0.5391,1.13744,0.0077626,0.0077626,0.0077626
115,7732.72,1.14363,0.59618,1.08785,0.89972,0.93532,0.96888,0.66068,1.17217,0.5305,1.14896,0.0077428,0.0077428,0.0077428
116,7802.78,1.13826,0.58963,1.08236,0.91504,0.93632,0.96768,0.65996,1.18523,0.52521,1.14729,0.007723,0.007723,0.007723
117,7873.82,1.13901,0.58514,1.08381,0.90119,0.94428,0.97175,0.67016,1.17418,0.52312,1.13784,0.0077032,0.0077032,0.0077032
118,7945.25,1.14816,0.59571,1.08422,0.89898,0.94742,0.9706,0.65666,1.19263,0.53689,1.1597,0.0076834,0.0076834,0.0076834
119,8015.61,1.13013,0.57625,1.08292,0.89122,0.95384,0.9732,0.65998,1.18218,0.52169,1.14813,0.0076636,0.0076636,0.0076636
120,8085.95,1.13579,0.59567,1.08912,0.91932,0.94328,0.974,0.67211,1.18269,0.51004,1.14424,0.0076438,0.0076438,0.0076438
121,8156.16,1.14268,0.58172,1.08668,0.89946,0.95423,0.97157,0.67001,1.16347,0.50565,1.13598,0.007624,0.007624,0.007624
122,8225.3,1.14399,0.59672,1.08886,0.90446,0.94193,0.97076,0.66568,1.16773,0.53224,1.13216,0.0076042,0.0076042,0.0076042
123,8296.11,1.11999,0.5784,1.07786,0.92347,0.93655,0.97151,0.66974,1.16696,0.51108,1.12651,0.0075844,0.0075844,0.0075844
124,8364.98,1.1111,0.56259,1.0706,0.91438,0.93515,0.96989,0.67106,1.15994,0.52577,1.13233,0.0075646,0.0075646,0.0075646
125,8436.09,1.11638,0.56262,1.07732,0.90594,0.94876,0.9717,0.67128,1.16629,0.51398,1.13387,0.0075448,0.0075448,0.0075448
126,8507.14,1.11731,0.57442,1.07627,0.92108,0.92935,0.97156,0.66872,1.17845,0.51156,1.14197,0.007525,0.007525,0.007525
127,8579.31,1.12696,0.57308,1.07897,0.90273,0.95117,0.96871,0.66843,1.18569,0.5224,1.1498,0.0075052,0.0075052,0.0075052
128,8654.02,1.13132,0.56538,1.08021,0.90213,0.95423,0.97044,0.66758,1.18268,0.52453,1.15711,0.0074854,0.0074854,0.0074854
129,8727.19,1.11633,0.58473,1.07484,0.90424,0.9584,0.97294,0.66689,1.17067,0.5184,1.14603,0.0074656,0.0074656,0.0074656
130,8798.89,1.10965,0.57054,1.07745,0.92597,0.93346,0.97462,0.67324,1.17072,0.49986,1.13943,0.0074458,0.0074458,0.0074458
131,8870.3,1.12745,0.57352,1.07921,0.89316,0.95522,0.97133,0.66871,1.17184,0.5223,1.13897,0.007426,0.007426,0.007426
132,8941.63,1.09551,0.55533,1.06989,0.91331,0.954,0.97216,0.67087,1.17153,0.49952,1.14538,0.0074062,0.0074062,0.0074062
133,9017.32,1.10301,0.56323,1.07129,0.91915,0.95023,0.97543,0.674,1.17907,0.49706,1.14889,0.0073864,0.0073864,0.0073864
134,9090.73,1.10951,0.56372,1.07675,0.91484,0.94059,0.97135,0.66814,1.18795,0.51717,1.15679,0.0073666,0.0073666,0.0073666
135,9161.51,1.09688,0.56339,1.06837,0.91562,0.95025,0.97297,0.66969,1.17751,0.50568,1.13824,0.0073468,0.0073468,0.0073468
136,9232.75,1.10267,0.55391,1.06625,0.90483,0.96418,0.96906,0.6721,1.17275,0.50791,1.14182,0.007327,0.007327,0.007327
137,9305.18,1.10828,0.56244,1.07053,0.89891,0.96447,0.97373,0.66873,1.18922,0.51626,1.14296,0.0073072,0.0073072,0.0073072
138,9380.1,1.11206,0.56355,1.06447,0.91563,0.94726,0.97593,0.67298,1.17072,0.50643,1.14604,0.0072874,0.0072874,0.0072874
139,9453.37,1.10842,0.55596,1.07008,0.91934,0.95264,0.97359,0.6795,1.16283,0.49367,1.13041,0.0072676,0.0072676,0.0072676
140,9524.69,1.09595,0.56042,1.05978,0.90601,0.95323,0.97022,0.66802,1.18866,0.51277,1.14628,0.0072478,0.0072478,0.0072478
141,9596.56,1.09009,0.56049,1.05931,0.90111,0.96816,0.96882,0.67078,1.16867,0.49471,1.13361,0.007228,0.007228,0.007228
142,9660.07,1.09794,0.56567,1.05743,0.92837,0.92853,0.97277,0.66891,1.16794,0.51098,1.13787,0.0072082,0.0072082,0.0072082
143,9714.75,1.09032,0.55684,1.05556,0.92056,0.94552,0.9741,0.67676,1.16714,0.4969,1.13198,0.0071884,0.0071884,0.0071884
144,9777.7,1.08116,0.5474,1.05508,0.90722,0.95224,0.97222,0.67038,1.17084,0.50713,1.13455,0.0071686,0.0071686,0.0071686
145,9840.1,1.08102,0.54575,1.05655,0.90653,0.95539,0.9706,0.67158,1.18025,0.51088,1.14677,0.0071488,0.0071488,0.0071488
146,9895.64,1.0792,0.55557,1.0536,0.91265,0.95647,0.96739,0.66737,1.15971,0.51106,1.13458,0.007129,0.007129,0.007129
147,9951.11,1.09229,0.54833,1.05679,0.91095,0.95678,0.97294,0.67268,1.1575,0.50189,1.13504,0.0071092,0.0071092,0.0071092
148,10006,1.08993,0.55144,1.06126,0.91916,0.93902,0.97223,0.67839,1.15727,0.50406,1.1353,0.0070894,0.0070894,0.0070894
149,10061.2,1.08272,0.5446,1.04788,0.91178,0.94616,0.97439,0.6756,1.15516,0.49661,1.13498,0.0070696,0.0070696,0.0070696
150,10116.1,1.08675,0.54768,1.05713,0.9032,0.95522,0.97422,0.67806,1.15653,0.49991,1.12825,0.0070498,0.0070498,0.0070498
151,10170.6,1.08181,0.55136,1.05475,0.91945,0.93136,0.97098,0.67103,1.18046,0.5135,1.14094,0.00703,0.00703,0.00703
