epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3336.09,1.25256,0.66766,1.19036,0.90527,0.90547,0.95724,0.61595,1.26063,0.61482,1.25025,0.008317,0.008317,0.008317
87,3374.73,1.24561,0.669,1.19233,0.88393,0.93035,0.9615,0.63144,1.23238,0.59364,1.23362,0.0082972,0.0082972,0.0082972
88,3412.55,1.23801,0.66179,1.1747,0.8661,0.92682,0.95637,0.61394,1.25391,0.60692,1.24051,0.0082774,0.0082774,0.0082774
89,3451.88,1.24132,0.64669,1.18499,0.91394,0.91935,0.96827,0.64283,1.20352,0.56033,1.21497,0.0082576,0.0082576,0.0082576
90,3490.75,1.26146,0.65384,1.19968,0.90562,0.90547,0.95546,0.63092,1.20952,0.59784,1.2167,0.0082378,0.0082378,0.0082378
91,3529.11,1.24112,0.65681,1.19027,0.89801,0.93433,0.96772,0.62655,1.2421,0.58579,1.23562,0.008218,0.008218,0.008218
92,3568.11,1.23921,0.65561,1.18343,0.8987,0.93333,0.96361,0.63814,1.21815,0.56984,1.22332,0.0081982,0.0081982,0.0081982
93,3606.43,1.23065,0.65529,1.18095,0.89364,0.93631,0.96393,0.62885,1.24757,0.58695,1.24023,0.0081784,0.0081784,0.0081784
94,3644.38,1.22251,0.6544,1.18397,0.9167,0.9393,0.97022,0.64229,1.22143,0.55946,1.22222,0.0081586,0.0081586,0.0081586
95,3682.8,1.24168,0.64537,1.18243,0.89971,0.9373,0.96551,0.6352,1.22398,0.57964,1.22591,0.0081388,0.0081388,0.0081388
96,3721.3,1.23117,0.63691,1.17475,0.89869,0.93564,0.96457,0.62482,1.25537,0.57911,1.24625,0.008119,0.008119,0.008119
97,3760.64,1.22047,0.63927,1.17876,0.91389,0.9187,0.96601,0.63498,1.23497,0.56653,1.23241,0.0080992,0.0080992,0.0080992
98,3799.4,1.21188,0.63804,1.16625,0.90188,0.9194,0.95718,0.61772,1.26519,0.58277,1.25676,0.0080794,0.0080794,0.0080794
99,3838.94,1.23073,0.64562,1.18629,0.90521,0.92175,0.96687,0.63622,1.22936,0.56651,1.23429,0.0080596,0.0080596,0.0080596
100,3878.39,1.19958,0.63793,1.1702,0.90978,0.92311,0.96537,0.63946,1.22308,0.56675,1.22306,0.0080398,0.0080398,0.0080398
101,3916.38,1.21263,0.6372,1.17255,0.88176,0.9393,0.95549,0.63482,1.21787,0.57697,1.22169,0.00802,0.00802,0.00802
102,3954.9,1.21026,0.64217,1.17642,0.89354,0.92935,0.96447,0.63806,1.22229,0.56523,1.22646,0.0080002,0.0080002,0.0080002
103,3993.69,1.2035,0.64355,1.16214,0.89796,0.94229,0.96816,0.64043,1.21261,0.56354,1.21563,0.0079804,0.0079804,0.0079804
104,4032.72,1.21508,0.63081,1.17528,0.90945,0.93731,0.96854,0.64983,1.20812,0.55248,1.21343,0.0079606,0.0079606,0.0079606
