epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3838.29,1.26606,0.65938,1.20245,0.88975,0.89055,0.94163,0.54125,1.44531,0.67582,1.38052,0.0084358,0.0084358,0.0084358
81,3884.5,1.25377,0.65851,1.18859,0.87245,0.91542,0.94854,0.60212,1.29434,0.63519,1.274,0.008416,0.008416,0.008416
82,3930.68,1.26476,0.66632,1.18445,0.86274,0.93187,0.95086,0.60527,1.27801,0.60128,1.26657,0.0083962,0.0083962,0.0083962
83,3976.97,1.24258,0.64126,1.1851,0.88384,0.93123,0.96062,0.62336,1.27227,0.61101,1.26148,0.0083764,0.0083764,0.0083764
84,4023.95,1.26334,0.6522,1.19606,0.89422,0.92528,0.96446,0.63624,1.24663,0.57183,1.2355,0.0083566,0.0083566,0.0083566
85,4071.81,1.24905,0.65797,1.19277,0.882,0.92971,0.95119,0.61298,1.29002,0.60771,1.26626,0.0083368,0.0083368,0.0083368
86,4118.79,1.24239,0.64875,1.18505,0.86187,0.91888,0.94613,0.60279,1.27927,0.6351,1.27194,0.008317,0.008317,0.008317
87,4167.12,1.24341,0.64615,1.18834,0.89053,0.91144,0.95268,0.59012,1.319,0.61318,1.29451,0.0082972,0.0082972,0.0082972
88,4213.9,1.24559,0.65555,1.17825,0.90003,0.94428,0.96321,0.62612,1.25738,0.57547,1.24537,0.0082774,0.0082774,0.0082774
89,4260.6,1.2387,0.63859,1.18218,0.89814,0.91542,0.95608,0.62811,1.26477,0.58932,1.25908,0.0082576,0.0082576,0.0082576
90,4306.96,1.25051,0.64653,1.19247,0.88679,0.92736,0.96067,0.62569,1.25781,0.61051,1.24386,0.0082378,0.0082378,0.0082378
91,4353.22,1.23515,0.64241,1.18785,0.8851,0.89353,0.94171,0.59403,1.3112,0.64664,1.28927,0.008218,0.008218,0.008218
92,4399.35,1.23701,0.6394,1.18146,0.90942,0.92836,0.96056,0.63013,1.22001,0.56072,1.22831,0.0081982,0.0081982,0.0081982
93,4445.94,1.23114,0.63402,1.17642,0.9001,0.91343,0.96153,0.61378,1.28677,0.59772,1.28209,0.0081784,0.0081784,0.0081784
94,4492.17,1.22212,0.643,1.18592,0.89442,0.95821,0.9687,0.63752,1.2305,0.58923,1.2287,0.0081586,0.0081586,0.0081586
95,4539.69,1.23608,0.63836,1.17781,0.87735,0.90249,0.94237,0.57541,1.3557,0.7395,1.33254,0.0081388,0.0081388,0.0081388
96,4586.48,1.23659,0.62624,1.17439,0.84908,0.92364,0.94662,0.59414,1.32695,0.64399,1.288,0.008119,0.008119,0.008119
97,4633.29,1.20657,0.62143,1.16826,0.90546,0.92736,0.96603,0.63659,1.23965,0.55498,1.23462,0.0080992,0.0080992,0.0080992
98,4680.24,1.20956,0.62781,1.16242,0.87346,0.90647,0.94203,0.58349,1.34185,0.66136,1.31019,0.0080794,0.0080794,0.0080794
99,4726.72,1.21371,0.63234,1.17709,0.86183,0.93717,0.95719,0.60031,1.30895,0.59974,1.28442,0.0080596,0.0080596,0.0080596
100,4773.37,1.21218,0.62469,1.17574,0.88423,0.93234,0.95787,0.58529,1.33726,0.64855,1.31215,0.0080398,0.0080398,0.0080398
101,4819.48,1.20353,0.62367,1.16745,0.88457,0.94553,0.95617,0.61093,1.28197,0.61294,1.26496,0.00802,0.00802,0.00802
102,4865.98,1.20324,0.6178,1.17175,0.91621,0.92482,0.96891,0.6428,1.20926,0.55666,1.21279,0.0080002,0.0080002,0.0080002
103,4913.91,1.18786,0.62104,1.15668,0.87415,0.95821,0.95035,0.60753,1.26954,0.59236,1.26178,0.0079804,0.0079804,0.0079804
104,4960.99,1.20102,0.61461,1.16419,0.88408,0.94428,0.95882,0.63869,1.22332,0.58813,1.2282,0.0079606,0.0079606,0.0079606
105,5010.43,1.21043,0.62367,1.17574,0.87878,0.94129,0.9638,0.64064,1.23633,0.56998,1.23528,0.0079408,0.0079408,0.0079408
106,5057.66,1.2081,0.61292,1.16872,0.8902,0.91158,0.95461,0.60824,1.30482,0.62084,1.28519,0.007921,0.007921,0.007921
107,5104.81,1.19083,0.61646,1.16751,0.90038,0.89936,0.95821,0.63312,1.28101,0.59682,1.25363,0.0079012,0.0079012,0.0079012
108,5151.69,1.18781,0.61023,1.14304,0.91336,0.92312,0.964,0.63258,1.2643,0.5638,1.25112,0.0078814,0.0078814,0.0078814
